key	ko	en	ja	ru	fr	zh-hant	es	de	th	id	vi	pt
korean.ee	이											
korean.ga	가											
korean.eul	을											
korean.reul	를											
korean.ro	로											
korean.euro	으로											
common.version	버전	Version	バージョン	Версия	Version	版本	Versión	Version	เวอร์ชั่น	Versi	Phiên bản	Versão
common.days	일	day(s) 	日	Д.	Jours	日	Días	Tage	วัน	Hari	Ngày	d
common.hours	시간	hour(s)	時間	Ч.	Heures	時間	Horas	Stunden	ชั่วโมง	Jam	Giờ	h
common.minutes	분	min(s)	分	М.	Minutes	分鐘	Minutos	Minuten	นาที	Menit	Phút	min
common.sec	초	sec(s)	秒	С.	Sec	秒鐘	Segundos	Sec	วินาที	Detik	Giây	s
common.ok	확인	OK	確認	ОК	OK	確認	OK	OK	ตกลง	Ok	OK	OK
common.yes	예	Yes	はい	Да	Oui	是	Sí	Ja	ใช่	Ya	Đúng	Sim
common.no	아니오	No	いいえ	Нет	Non	不是	No	Nein	ไม่	Tidak	Không	Não
common.retreat	복귀	Return	帰る	Вернуться	Retour	返回	Regresar	Rückkehr	กลับ	Kembali	Trở lại	Voltar
common.stay	머물기	Stay	取消	Остаться	Rester	留下	Quedarse	Bleib	อยู่	Tinggal	Ở lại	Ficar
common.recipe	레시피	Recipe	レシピ	Рецепт	Recette	配方	Receta	Rezept	สูตรอาหาร	Resep	Công thức	Receita
common.craft	제작	Craft	製作	Создать	Fabrication	製作	Fabricación	Herstellen	สร้าง	Penyusun	Thủ công	Construir
common.etc	기타	Others	その他	Прочее	Autre	其他	Otro	Andere	อื่น	Lainnya	Khác	Outros
common.coin	코인	Coin	コイン									Moeda
menu.setting	설정	Settings	設定	Настройки	Réglages	設置	Ajuste	Einstellung	การตั้งค่า	Pengaturan	Thiết lập	Configurações
menu.emergency.exit	비상탈출	Emergency Escape	非常脱出	Экстренный Побег	Évacuation d'urgence	緊急避難	Salida de emergencia	Notfall-Flucht	ทางหนีฉุกเฉิน	Pelarian Darurat	Thoát hiểm khẩn cấp	Saída de Emergência
